i,m,x,v
0,1,7.0999084288,0.983542634455
1,1,7.10974385514,0.983542634455
2,1,7.11957928149,0.983542634455
3,1,7.12941470783,0.983542634455
4,1,7.13925013417,0.983542634455
5,1,7.14908556052,0.983542634455
6,1,7.15892098686,0.983542634455
7,1,7.16875641321,0.983542634455
8,1,7.17859183955,0.983542634455
9,1,7.1884272659,0.983542634455
10,1,7.19826269224,0.983542634455
11,1,7.20809811859,0.983542634455
12,1,7.21793354493,0.983542634455
13,1,7.20395224762,-2.69684865393
14,1,7.17698376108,-2.69684865393
15,1,7.15001527454,-2.69684865393
16,1,7.123046788,-2.69684865393
17,1,7.09607830146,-2.69684865393
18,1,7.06910981492,-2.69684865393
19,1,7.04214132838,-2.69684865393
20,1,7.01517284184,-2.69684865393
21,1,6.9882043553,-2.69684865393
22,1,6.96123586876,-2.69684865393
23,1,6.93426738223,-2.69684865393
24,1,6.90729889569,-2.69684865393
25,1,6.88033040915,-2.69684865393
26,1,6.85336192261,-2.69684865393
27,1,6.82639343607,-2.69684865393
28,1,6.79942494953,-2.69684865393
29,1,6.77245646299,-2.69684865393
30,1,6.74548797645,-2.69684865393
31,1,6.71851948991,-2.69684865393
32,1,6.69155100337,-2.69684865393
33,1,6.66458251683,-2.69684865393
34,1,6.70546093848,4.17407429617
35,1,6.74720168144,4.17407429617
36,1,6.7889424244,4.17407429617
37,1,6.83068316736,4.17407429617
38,1,6.87242391033,4.17407429617
39,1,6.91416465329,4.17407429617
40,1,6.95590539625,4.17407429617
41,1,6.99656566459,-5.35884778102
42,1,6.94297718678,-5.35884778102
43,1,6.88938870897,-5.35884778102
44,1,6.83580023116,-5.35884778102
45,1,6.78221175335,-5.35884778102
46,1,6.75497057196,6.10277172501
47,1,6.81599828921,6.10277172501
48,1,6.87702600646,6.10277172501
49,1,6.93805372371,6.10277172501
50,1,6.92579398587,-6.40588217094
51,1,6.86173516416,-6.40588217094
52,1,6.79767634246,-6.40588217094
53,1,6.76754738191,6.18760196909
54,1,6.8294234016,6.18760196909
55,1,6.89129942129,6.18760196909
