i,m,x,v
0,25,4.12736053335,-0.882244452372
1,25,4.11853808882,-0.882244452372
2,25,4.1097156443,-0.882244452372
3,25,4.10089319977,-0.882244452372
4,25,4.09207075525,-0.882244452372
5,25,4.08324831073,-0.882244452372
6,25,4.0744258662,-0.882244452372
7,25,4.06560342168,-0.882244452372
8,25,4.05678097716,-0.882244452372
9,25,4.04795853263,-0.882244452372
10,25,4.03913608811,-0.882244452372
11,25,4.03031364358,-0.882244452372
12,25,4.02149119906,-0.882244452372
13,25,4.01266875454,-0.882244452372
14,25,4.00384631001,-0.882244452372
15,25,3.99502386549,-0.882244452372
16,25,3.98620142097,-0.882244452372
17,25,3.97737897644,-0.882244452372
18,25,3.96855653192,-0.882244452372
19,25,3.95973408739,-0.882244452372
20,25,3.95091164287,-0.882244452372
21,25,3.94208919835,-0.882244452372
22,25,3.93326675382,-0.882244452372
23,25,3.9244443093,-0.882244452372
24,25,3.91562186478,-0.882244452372
25,25,3.90679942025,-0.882244452372
26,25,3.89797697573,-0.882244452372
27,25,3.88915453121,-0.882244452372
28,25,3.88033208668,-0.882244452372
29,25,3.87150964216,-0.882244452372
30,25,3.86268719763,-0.882244452372
31,25,3.85441567879,-0.819883168932
32,25,3.8462168471,-0.819883168932
33,25,3.83801801541,-0.819883168932
34,25,3.82981918372,-0.819883168932
35,25,3.82162035203,-0.819883168932
36,25,3.81342152034,-0.819883168932
37,25,3.80522268865,-0.819883168932
38,25,3.79702385696,-0.819883168932
39,25,3.78882502528,-0.819883168932
40,25,3.78062619359,-0.819883168932
41,25,3.7724273619,-0.819883168932
42,25,3.76422853021,-0.819883168932
43,25,3.75602969852,-0.819883168932
44,25,3.74783086683,-0.819883168932
45,25,3.73963203514,-0.819883168932
46,25,3.73143320345,-0.819883168932
47,25,3.72323437176,-0.819883168932
48,25,3.71503554007,-0.819883168932
49,25,3.70683670838,-0.819883168932
50,25,3.69863787669,-0.819883168932
51,25,3.690439045,-0.819883168932
52,25,3.68224021331,-0.819883168932
53,25,3.67404138162,-0.819883168932
54,25,3.66665201706,-0.568174692489
55,25,3.66179418322,-0.404836671294
56,25,3.65774581651,-0.404836671294
57,25,3.6536974498,-0.404836671294
58,25,3.65075770047,-0.254885097903
59,25,3.65036038583,0.0711302743487
60,25,3.65107168857,0.0711302743487
61,25,3.65223880524,0.232602766482
62,25,3.65456483291,0.232602766482
63,25,3.65689086057,0.232602766482
64,25,3.65921688824,0.232602766482
65,25,3.66234068846,0.470219740276
66,25,3.66704288586,0.470219740276
67,25,3.67174508327,0.470219740276
68,25,3.67644728067,0.470219740276
69,25,3.68114947807,0.470219740276
70,25,3.68585167547,0.470219740276
71,25,3.69055387288,0.470219740276
72,25,3.69525607028,0.470219740276
73,25,3.69995826768,0.470219740276
74,25,3.70466046509,0.470219740276
75,25,3.70936266249,0.470219740276
76,25,3.71406485989,0.470219740276
77,25,3.71876705729,0.470219740276
78,25,3.7234692547,0.470219740276
79,25,3.7281714521,0.470219740276
80,25,3.7328736495,0.470219740276
81,25,3.73757584691,0.470219740276
82,25,3.74230643501,0.505875283269
83,25,3.74736518784,0.505875283269
84,25,3.75242394067,0.505875283269
85,25,3.7574826935,0.505875283269
86,25,3.76254144634,0.505875283269
87,25,3.76760019917,0.505875283269
88,25,3.772658952,0.505875283269
89,25,3.77771770484,0.505875283269
90,25,3.78277645767,0.505875283269
91,25,3.7878352105,0.505875283269
92,25,3.79289396333,0.505875283269
93,25,3.79795271617,0.505875283269
94,25,3.803011469,0.505875283269
95,25,3.80807022183,0.505875283269
96,25,3.81312897466,0.505875283269
97,25,3.8181877275,0.505875283269
98,25,3.82324648033,0.505875283269
99,25,3.82830523316,0.505875283269
100,25,3.83336398599,0.505875283269
101,25,3.83842273883,0.505875283269
102,25,3.84348149166,0.505875283269
103,25,3.84854024449,0.505875283269
104,25,3.85359899733,0.505875283269
105,25,3.85865775016,0.505875283269
106,25,3.86371650299,0.505875283269
107,25,3.86877525582,0.505875283269
108,25,3.87383400866,0.505875283269
109,25,3.87889276149,0.505875283269
110,25,3.88395151432,0.505875283269
111,25,3.88901026715,0.505875283269
112,25,3.89406901999,0.505875283269
113,25,3.89912777282,0.505875283269
114,25,3.90418652565,0.505875283269
115,25,3.90924527849,0.505875283269
116,25,3.91430403132,0.505875283269
117,25,3.91936278415,0.505875283269
118,25,3.92442153698,0.505875283269
