i,m,x,v
0,1,7.38596927927,-0.229841646604
1,1,7.3836708628,-0.229841646604
2,1,7.38137244634,-0.229841646604
3,1,7.37907402987,-0.229841646604
4,1,7.3767756134,-0.229841646604
5,1,7.36773513024,-1.60703342933
6,1,7.35166479594,-1.60703342933
7,1,7.32546607565,-4.67127048238
8,1,7.32036254024,-6.33474004636
9,1,7.32114081134,-6.09544834754
10,1,7.34414140757,-4.02560767372
11,1,7.36566982207,-0.749844500433
12,1,7.35817137706,-0.749844500433
13,1,7.35067293206,-0.749844500433
14,1,7.34317448705,-0.749844500433
15,1,7.33567604205,-0.749844500433
16,1,7.32817759705,-0.749844500433
17,1,7.32067915204,-0.749844500433
18,1,7.31318070704,-0.749844500433
19,1,7.30568226203,-0.749844500433
20,1,7.29818381703,-0.749844500433
21,1,7.29068537202,-0.749844500433
22,1,7.28318692702,-0.749844500433
23,1,7.27568848202,-0.749844500433
24,1,7.26819003701,-0.749844500433
25,1,7.26069159201,-0.749844500433
26,1,7.253193147,-0.749844500433
27,1,7.245694702,-0.749844500433
28,1,7.23819625699,-0.749844500433
29,1,7.23069781199,-0.749844500433
30,1,7.22319936699,-0.749844500433
31,1,7.21570092198,-0.749844500433
32,1,7.20820247698,-0.749844500433
33,1,7.20070403197,-0.749844500433
34,1,7.19320558697,-0.749844500433
35,1,7.18570714196,-0.749844500433
36,1,7.17820869696,-0.749844500433
37,1,7.17071025195,-0.749844500433
38,1,7.16321180695,-0.749844500433
39,1,7.15571336195,-0.749844500433
40,1,7.14821491694,-0.749844500433
41,1,7.14071647194,-0.749844500433
42,1,7.13321802693,-0.749844500433
43,1,7.12571958193,-0.749844500433
44,1,7.11822113692,-0.749844500433
45,1,7.11072269192,-0.749844500433
46,1,7.10322424692,-0.749844500433
47,1,7.09572580191,-0.749844500433
48,1,7.08822735691,-0.749844500433
49,1,7.0807289119,-0.749844500433
50,1,7.0732304669,-0.749844500433
51,1,7.06573202189,-0.749844500433
52,1,7.0733148129,0.881813875313
53,1,7.08213295166,0.881813875313
54,1,7.09095109041,0.881813875313
55,1,7.09976922916,0.881813875313
56,1,7.10858736791,0.881813875313
57,1,7.11740550667,0.881813875313
58,1,7.12622364542,0.881813875313
59,1,7.13504178417,0.881813875313
60,1,7.14385992293,0.881813875313
61,1,7.15267806168,0.881813875313
62,1,7.16149620043,0.881813875313
63,1,7.17031433919,0.881813875313
64,1,7.17913247794,0.881813875313
65,1,7.18795061669,0.881813875313
66,1,7.19676875545,0.881813875313
67,1,7.2055868942,0.881813875313
68,1,7.21440503295,0.881813875313
69,1,7.22322317171,0.881813875313
70,1,7.20984397257,-2.6902063126
71,1,7.18294190944,-2.6902063126
72,1,7.1670671047,4.05129807198
73,1,7.18608744774,-5.34111324891
74,1,7.14359314234,-6.39869430833
75,1,7.19044658793,-5.54379781021
76,1,7.18134576053,4.33568010261
77,1,7.19217844116,-3.03441027173
78,1,7.16183433844,-3.03441027173
