i,m,x,v
0,1,5.35737764217,-0.653346952285
1,1,5.35084417265,-0.653346952285
2,1,5.34431070313,-0.653346952285
3,1,5.33777723361,-0.653346952285
4,1,5.33124376408,-0.653346952285
5,1,5.32471029456,-0.653346952285
6,1,5.31817682504,-0.653346952285
7,1,5.31164335551,-0.653346952285
8,1,5.30510988599,-0.653346952285
9,1,5.29857641647,-0.653346952285
10,1,5.29204294695,-0.653346952285
11,1,5.28550947742,-0.653346952285
12,1,5.2789760079,-0.653346952285
13,1,5.27244253838,-0.653346952285
14,1,5.26590906885,-0.653346952285
15,1,5.25937559933,-0.653346952285
16,1,5.25284212981,-0.653346952285
17,1,5.24630866029,-0.653346952285
18,1,5.23977519076,-0.653346952285
19,1,5.23324172124,-0.653346952285
20,1,5.22670825172,-0.653346952285
21,1,5.22017478219,-0.653346952285
22,1,5.21364131267,-0.653346952285
23,1,5.20710784315,-0.653346952285
24,1,5.20057437363,-0.653346952285
25,1,5.1940409041,-0.653346952285
26,1,5.18750743458,-0.653346952285
27,1,5.18097396506,-0.653346952285
28,1,5.17444049553,-0.653346952285
29,1,5.16790702601,-0.653346952285
30,1,5.16137355649,-0.653346952285
31,1,5.15484008697,-0.653346952285
32,1,5.14830661744,-0.653346952285
33,1,5.14177314792,-0.653346952285
34,1,5.1352396784,-0.653346952285
35,1,5.12870620887,-0.653346952285
36,1,5.12217273935,-0.653346952285
37,1,5.11563926983,-0.653346952285
38,1,5.10910580031,-0.653346952285
39,1,5.10257233078,-0.653346952285
40,1,5.09603886126,-0.653346952285
41,1,5.08950539174,-0.653346952285
42,1,5.08297192221,-0.653346952285
43,1,5.07643845269,-0.653346952285
44,1,5.06990498317,-0.653346952285
45,1,5.06337151365,-0.653346952285
46,1,5.05683804412,-0.653346952285
47,1,5.0503045746,-0.653346952285
48,1,5.04377110508,-0.653346952285
49,1,5.03723763555,-0.653346952285
50,1,5.03070416603,-0.653346952285
51,1,5.02417069651,-0.653346952285
52,1,5.01763722699,-0.653346952285
53,1,5.01110375746,-0.653346952285
54,1,5.00457028794,-0.653346952285
55,1,4.99803681842,-0.653346952285
56,1,4.99150334889,-0.653346952285
57,1,4.98496987937,-0.653346952285
58,1,4.97843640985,-0.653346952285
59,1,4.97190294033,-0.653346952285
60,1,4.9653694708,-0.653346952285
61,1,4.95883600128,-0.653346952285
62,1,4.95230253176,-0.653346952285
63,1,4.94576906223,-0.653346952285
64,1,4.93923559271,-0.653346952285
65,1,4.93270212319,-0.653346952285
66,1,4.92616865367,-0.653346952285
67,1,4.91963518414,-0.653346952285
68,1,4.91310171462,-0.653346952285
69,1,4.9065682451,-0.653346952285
70,1,4.90003477557,-0.653346952285
71,1,4.89350130605,-0.653346952285
72,1,4.88696783653,-0.653346952285
73,1,4.88043436701,-0.653346952285
74,1,4.87390089748,-0.653346952285
75,1,4.86736742796,-0.653346952285
76,1,4.86083395844,-0.653346952285
77,1,4.85430048891,-0.653346952285
78,1,4.84776701939,-0.653346952285
79,1,4.84123354987,-0.653346952285
80,1,4.83470008035,-0.653346952285
81,1,4.82816661082,-0.653346952285
82,1,4.8216331413,-0.653346952285
83,1,4.81509967178,-0.653346952285
84,1,4.80856620225,-0.653346952285
85,1,4.80203273273,-0.653346952285
86,1,4.79549926321,-0.653346952285
87,1,4.78896579369,-0.653346952285
88,1,4.78243232416,-0.653346952285
89,1,4.77589885464,-0.653346952285
90,1,4.76936538512,-0.653346952285
91,1,4.76283191559,-0.653346952285
92,1,4.75629844607,-0.653346952285
93,1,4.74976497655,-0.653346952285
94,1,4.74323150703,-0.653346952285
95,1,4.7366980375,-0.653346952285
96,1,4.73016456798,-0.653346952285
97,1,4.72363109846,-0.653346952285
98,1,4.71709762893,-0.653346952285
99,1,4.71056415941,-0.653346952285
100,1,4.70403068989,-0.653346952285
101,1,4.69749722037,-0.653346952285
102,1,4.69096375084,-0.653346952285
103,1,4.68443028132,-0.653346952285
104,1,4.6778968118,-0.653346952285
105,1,4.67136334227,-0.653346952285
106,1,4.66482987275,-0.653346952285
107,1,4.65829640323,-0.653346952285
108,1,4.65176293371,-0.653346952285
109,1,4.64522946418,-0.653346952285
110,1,4.63869599466,-0.653346952285
111,1,4.63216252514,-0.653346952285
112,1,4.62562905562,-0.653346952285
113,1,4.61909558609,-0.653346952285
114,1,4.61256211657,-0.653346952285
115,1,4.60602864705,-0.653346952285
116,1,4.59949517752,-0.653346952285
117,1,4.592961708,-0.653346952285
