i,m,x,v
0,25,7.46837039093,-0.945981373623
1,25,7.4589105772,-0.945981373623
2,25,7.44945076346,-0.945981373623
3,25,7.43999094972,-0.945981373623
4,25,7.43053113599,-0.945981373623
5,25,7.42134100492,-0.890893702314
6,25,7.4124320679,-0.890893702314
7,25,7.40585288548,-0.575862303975
8,25,7.40256357262,-0.0959558254429
9,25,7.40413428128,0.404001884732
10,25,7.40933537451,0.773136014603
11,25,7.41717481071,0.900051057523
12,25,7.42617532128,0.900051057523
13,25,7.43517583186,0.900051057523
14,25,7.44417634243,0.900051057523
15,25,7.45317685301,0.900051057523
16,25,7.46217736358,0.900051057523
17,25,7.47117787416,0.900051057523
18,25,7.48017838473,0.900051057523
19,25,7.48917889531,0.900051057523
20,25,7.49817940588,0.900051057523
21,25,7.50717991646,0.900051057523
22,25,7.51618042703,0.900051057523
23,25,7.52518093761,0.900051057523
24,25,7.53418144818,0.900051057523
25,25,7.54318195876,0.900051057523
26,25,7.55218246933,0.900051057523
27,25,7.56118297991,0.900051057523
28,25,7.57018349049,0.900051057523
29,25,7.57918400106,0.900051057523
30,25,7.58818451164,0.900051057523
31,25,7.59718502221,0.900051057523
32,25,7.60618553279,0.900051057523
33,25,7.61518604336,0.900051057523
34,25,7.62182787882,-0.9756366224
35,25,7.6120715126,-0.9756366224
36,25,7.60231514637,-0.9756366224
37,25,7.59255878015,-0.9756366224
38,25,7.58280241392,-0.9756366224
39,25,7.5730460477,-0.9756366224
40,25,7.56328968148,-0.9756366224
41,25,7.55353331525,-0.9756366224
42,25,7.54377694903,-0.9756366224
43,25,7.5340205828,-0.9756366224
44,25,7.52426421658,-0.9756366224
45,25,7.51450785036,-0.9756366224
46,25,7.50475148413,-0.9756366224
47,25,7.49499511791,-0.9756366224
48,25,7.48523875168,-0.9756366224
49,25,7.47548238546,-0.9756366224
50,25,7.46572601924,-0.9756366224
51,25,7.45596965301,-0.9756366224
52,25,7.44621328679,-0.9756366224
53,25,7.43645692056,-0.9756366224
54,25,7.42670055434,-0.9756366224
55,25,7.41694418812,-0.9756366224
56,25,7.40718782189,-0.9756366224
57,25,7.39743145567,-0.9756366224
58,25,7.38767508944,-0.9756366224
59,25,7.37791872322,-0.9756366224
60,25,7.368162357,-0.9756366224
