i,x,v
0,1,1
1,1.001,1
2,1.002,1
3,1.003,1
4,1.004,1
5,1.005,1
6,1.006,1
7,1.007,1
8,1.008,1
9,1.009,1
10,1.01,1
11,1.011,1
12,1.012,1
13,1.013,1
14,1.014,1
15,1.015,1
16,1.016,1
17,1.017,1
18,1.018,1
19,1.019,1
20,1.02,1
21,1.021,1
22,1.022,1
23,1.023,1
24,1.024,1
25,1.025,1
26,1.026,1
27,1.027,1
28,1.028,1
29,1.029,1
30,1.03,1
31,1.031,1
32,1.032,1
33,1.033,1
34,1.034,1
35,1.035,1
36,1.036,1
37,1.037,1
38,1.038,1
39,1.039,1
40,1.04,1
41,1.041,1
42,1.042,1
43,1.043,1
44,1.044,1
45,1.045,1
46,1.046,1
47,1.047,1
48,1.048,1
49,1.049,1
50,1.05,1
51,1.051,1
52,1.052,1
53,1.053,1
54,1.054,1
55,1.055,1
56,1.056,1
57,1.057,1
58,1.058,1
59,1.059,1
60,1.06,1
61,1.061,1
62,1.062,1
63,1.063,1
64,1.064,1
65,1.065,1
66,1.066,1
67,1.067,1
68,1.068,1
69,1.069,1
70,1.07,1
71,1.071,1
72,1.072,1
73,1.073,1
74,1.074,1
75,1.075,1
76,1.076,1
77,1.077,1
78,1.078,1
79,1.079,1
80,1.08,1
81,1.081,1
82,1.082,1
83,1.083,1
84,1.084,1
85,1.085,1
86,1.086,1
87,1.087,1
88,1.088,1
89,1.089,1
90,1.09,1
91,1.091,1
92,1.092,1
93,1.093,1
94,1.094,1
95,1.095,1
96,1.096,1
97,1.097,1
98,1.098,1
99,1.099,1
100,1.1,1
101,1.101,1
102,1.102,1
103,1.103,1
104,1.104,1
105,1.105,1
106,1.106,1
107,1.107,1
108,1.108,1
109,1.109,1
110,1.11,1
111,1.111,1
112,1.112,1
113,1.113,1
114,1.114,1
115,1.115,1
116,1.116,1
117,1.117,1
118,1.118,1
119,1.119,1
120,1.12,1
121,1.121,1
122,1.122,1
123,1.123,1
124,1.124,1
125,1.125,1
126,1.126,1
127,1.127,1
128,1.128,1
129,1.129,1
130,1.13,1
131,1.131,1
132,1.132,1
133,1.133,1
134,1.134,1
135,1.135,1
136,1.136,1
137,1.137,1
138,1.138,1
139,1.139,1
140,1.14,1
141,1.141,1
142,1.142,1
143,1.143,1
144,1.144,1
145,1.145,1
146,1.146,1
147,1.147,1
148,1.148,1
149,1.149,1
150,1.15,1
151,1.151,1
152,1.152,1
153,1.153,1
154,1.154,1
155,1.155,1
156,1.156,1
157,1.157,1
158,1.158,1
159,1.159,1
160,1.16,1
161,1.161,1
162,1.162,1
163,1.163,1
164,1.164,1
165,1.165,1
166,1.166,1
167,1.167,1
168,1.168,1
169,1.169,1
170,1.17,1
171,1.171,1
172,1.172,1
173,1.173,1
174,1.174,1
175,1.175,1
176,1.176,1
177,1.177,1
178,1.178,1
179,1.179,1
180,1.18,1
181,1.181,1
182,1.182,1
183,1.183,1
184,1.184,1
185,1.185,1
186,1.186,1
187,1.187,1
