i,x,v
0,2,-1
1,1.999,-1
2,1.998,-1
3,1.997,-1
4,1.996,-1
5,1.995,-1
6,1.994,-1
7,1.993,-1
8,1.992,-1
9,1.991,-1
10,1.99,-1
11,1.989,-1
12,1.988,-1
13,1.987,-1
14,1.986,-1
15,1.985,-1
16,1.984,-1
17,1.983,-1
18,1.982,-1
19,1.981,-1
20,1.98,-1
21,1.979,-1
22,1.978,-1
23,1.977,-1
24,1.976,-1
25,1.975,-1
26,1.974,-1
27,1.973,-1
28,1.972,-1
29,1.971,-1
30,1.97,-1
31,1.969,-1
32,1.968,-1
33,1.967,-1
34,1.966,-1
35,1.965,-1
36,1.964,-1
37,1.963,-1
38,1.962,-1
39,1.961,-1
40,1.96,-1
41,1.959,-1
42,1.958,-1
43,1.957,-1
44,1.956,-1
45,1.955,-1
46,1.954,-1
47,1.953,-1
48,1.952,-1
49,1.951,-1
50,1.95,-1
51,1.949,-1
52,1.948,-1
53,1.947,-1
54,1.946,-1
55,1.945,-1
56,1.944,-1
57,1.943,-1
58,1.942,-1
59,1.941,-1
60,1.94,-1
61,1.939,-1
62,1.938,-1
63,1.937,-1
64,1.936,-1
65,1.935,-1
66,1.934,-1
67,1.933,-1
68,1.932,-1
69,1.931,-1
70,1.93,-1
71,1.929,-1
72,1.928,-1
73,1.927,-1
74,1.926,-1
75,1.925,-1
76,1.924,-1
77,1.923,-1
78,1.922,-1
79,1.921,-1
80,1.92,-1
81,1.919,-1
82,1.918,-1
83,1.917,-1
84,1.916,-1
85,1.915,-1
86,1.914,-1
87,1.913,-1
88,1.912,-1
89,1.911,-1
90,1.91,-1
91,1.909,-1
92,1.908,-1
93,1.907,-1
94,1.906,-1
95,1.905,-1
96,1.904,-1
97,1.903,-1
98,1.902,-1
99,1.901,-1
100,1.9,-1
101,1.899,-1
102,1.898,-1
103,1.897,-1
104,1.896,-1
105,1.895,-1
106,1.894,-1
107,1.893,-1
108,1.892,-1
109,1.891,-1
110,1.89,-1
111,1.889,-1
112,1.888,-1
113,1.887,-1
114,1.886,-1
115,1.885,-1
116,1.884,-1
117,1.883,-1
118,1.882,-1
119,1.881,-1
120,1.88,-1
121,1.879,-1
122,1.878,-1
123,1.877,-1
124,1.876,-1
125,1.875,-1
126,1.874,-1
127,1.873,-1
128,1.872,-1
129,1.871,-1
130,1.87,-1
131,1.869,-1
132,1.868,-1
133,1.867,-1
134,1.866,-1
135,1.865,-1
136,1.864,-1
137,1.863,-1
138,1.862,-1
139,1.861,-1
140,1.86,-1
141,1.859,-1
142,1.858,-1
143,1.857,-1
144,1.856,-1
145,1.855,-1
146,1.854,-1
147,1.853,-1
148,1.852,-1
149,1.851,-1
150,1.85,-1
151,1.849,-1
152,1.848,-1
153,1.847,-1
154,1.846,-1
155,1.845,-1
156,1.844,-1
157,1.843,-1
158,1.842,-1
159,1.841,-1
160,1.84,-1
161,1.839,-1
162,1.838,-1
163,1.837,-1
164,1.836,-1
165,1.835,-1
166,1.834,-1
167,1.833,-1
168,1.832,-1
169,1.831,-1
170,1.83,-1
171,1.829,-1
172,1.828,-1
173,1.827,-1
174,1.826,-1
175,1.825,-1
176,1.824,-1
177,1.823,-1
178,1.822,-1
179,1.821,-1
180,1.82,-1
181,1.819,-1
182,1.818,-1
183,1.817,-1
184,1.816,-1
185,1.815,-1
186,1.814,-1
187,1.813,-1
188,1.812,-1
189,1.811,-1
190,1.81,-1
191,1.809,-1
192,1.808,-1
193,1.807,-1
194,1.806,-1
195,1.805,-1
196,1.804,-1
197,1.803,-1
198,1.802,-1
199,1.801,-1
200,1.8,-1
201,1.799,-1
202,1.798,-1
203,1.797,-1
204,1.796,-1
205,1.795,-1
206,1.794,-1
207,1.793,-1
208,1.792,-1
209,1.791,-1
210,1.79,-1
211,1.789,-1
212,1.788,-1
213,1.787,-1
214,1.786,-1
215,1.785,-1
216,1.784,-1
217,1.783,-1
218,1.782,-1
219,1.781,-1
220,1.78,-1
221,1.779,-1
222,1.778,-1
223,1.777,-1
224,1.776,-1
225,1.775,-1
226,1.774,-1
227,1.773,-1
228,1.772,-1
229,1.771,-1
230,1.77,-1
231,1.769,-1
232,1.768,-1
233,1.767,-1
234,1.766,-1
235,1.765,-1
236,1.764,-1
237,1.763,-1
238,1.762,-1
239,1.761,-1
240,1.76,-1
241,1.759,-1
242,1.758,-1
243,1.757,-1
244,1.756,-1
245,1.755,-1
246,1.754,-1
247,1.753,-1
248,1.752,-1
249,1.751,-1
250,1.75,-1
251,1.749,-1
252,1.748,-1
253,1.747,-1
254,1.746,-1
255,1.745,-1
256,1.744,-1
257,1.743,-1
258,1.742,-1
259,1.741,-1
260,1.74,-1
261,1.739,-1
262,1.738,-1
263,1.737,-1
264,1.736,-1
265,1.735,-1
266,1.734,-1
267,1.733,-1
268,1.732,-1
269,1.731,-1
270,1.73,-1
271,1.729,-1
272,1.728,-1
273,1.727,-1
274,1.726,-1
275,1.725,-1
276,1.724,-1
277,1.723,-1
278,1.722,-1
279,1.721,-1
280,1.72,-1
281,1.719,-1
282,1.718,-1
283,1.717,-1
284,1.716,-1
285,1.715,-1
286,1.714,-1
287,1.713,-1
288,1.712,-1
289,1.711,-1
290,1.71,-1
291,1.709,-1
292,1.708,-1
293,1.707,-1
294,1.706,-1
295,1.705,-1
296,1.704,-1
297,1.703,-1
298,1.702,-1
299,1.701,-1
300,1.7,-1
301,1.699,-1
302,1.698,-1
303,1.697,-1
304,1.696,-1
305,1.695,-1
306,1.694,-1
307,1.693,-1
308,1.692,-1
309,1.691,-1
310,1.69,-1
311,1.689,-1
312,1.688,-1
313,1.687,-1
314,1.686,-1
315,1.685,-1
316,1.684,-1
317,1.683,-1
318,1.682,-1
319,1.681,-1
320,1.68,-1
321,1.679,-1
322,1.678,-1
323,1.677,-1
324,1.676,-1
325,1.675,-1
326,1.674,-1
327,1.673,-1
328,1.672,-1
329,1.671,-1
330,1.67,-1
331,1.669,-1
332,1.668,-1
333,1.667,-1
334,1.666,-1
335,1.665,-1
336,1.664,-1
337,1.663,-1
338,1.662,-1
339,1.661,-1
340,1.66,-1
341,1.659,-1
342,1.658,-1
343,1.657,-1
344,1.656,-1
345,1.655,-1
346,1.654,-1
347,1.653,-1
348,1.652,-1
349,1.651,-1
350,1.65,-1
351,1.649,-1
352,1.648,-1
353,1.647,-1
354,1.646,-1
355,1.645,-1
356,1.644,-1
357,1.643,-1
358,1.642,-1
359,1.641,-1
360,1.64,-1
361,1.639,-1
362,1.638,-1
363,1.637,-1
364,1.636,-1
365,1.635,-1
366,1.634,-1
367,1.633,-1
368,1.632,-1
369,1.631,-1
370,1.63,-1
371,1.629,-1
372,1.628,-1
373,1.627,-1
374,1.626,-1
375,1.625,-1
376,1.624,-1
377,1.623,-1
378,1.622,-1
379,1.621,-1
380,1.62,-1
381,1.619,-1
382,1.618,-1
383,1.617,-1
384,1.616,-1
385,1.615,-1
386,1.614,-1
387,1.613,-1
388,1.612,-1
389,1.611,-1
390,1.61,-1
391,1.609,-1
392,1.608,-1
393,1.607,-1
394,1.606,-1
395,1.605,-1
396,1.604,-1
397,1.603,-1
398,1.602,-1
399,1.601,-1
400,1.6,-1
401,1.5,2.9604
402,1.50296,2.9604
403,1.50592,2.9604
404,1.50888,2.9604
405,1.51184,2.9604
406,1.5148,2.9604
407,1.51776,2.9604
408,1.52072,2.9604
409,1.52368,2.9604
410,1.52664,2.9604
411,1.5296,2.9604
412,1.53256,2.9604
413,1.53552,2.9604
414,1.53849,2.9604
415,1.54145,2.9604
416,1.54441,2.9604
417,1.54737,2.9604
418,1.55033,2.9604
419,1.55329,2.9604
420,1.55625,2.9604
421,1.55921,2.9604
422,1.56217,2.9604
423,1.56513,2.9604
424,1.56809,2.9604
425,1.57105,2.9604
426,1.57401,2.9604
427,1.57697,2.9604
428,1.57993,2.9604
429,1.58289,2.9604
430,1.58585,2.9604
431,1.58881,2.9604
432,1.59177,2.9604
433,1.59473,2.9604
434,1.59769,2.9604
435,1.60065,2.9604
436,1.60361,2.9604
437,1.60657,2.9604
438,1.60953,2.9604
439,1.6125,2.9604
440,1.61546,2.9604
441,1.61842,2.9604
442,1.62138,2.9604
443,1.62434,2.9604
444,1.6273,2.9604
445,1.63026,2.9604
446,1.63322,2.9604
